market_id,category,side,entry_at,exit_at,size_usd,pnl_usd,pnl_pct,exit_reason,won,suspect_classification,question
9099,eu_hicp_above_consensus,BUY_YES,2026-04-21T18:00:54+00:00,2026-05-17T22:00:48.078022+00:00,500.0,6220.19,12.4404,end_of_data,True,True,Will the Eurozone's 2026 Annual Inflation be between 1.9% and 2.1%?
10894,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:54+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-376.62,-0.7532,end_of_data,False,True,Will South Korea’s 2026 Annual Inflation be between 1.5% and 1.7%?
11354,us_gdp_above_consensus,BUY_YES,2026-04-21T18:00:54+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-436.67,-0.8733,end_of_data,False,False,Will Japan GDP growth in Q1 2026 be at least 1.2%?
9087,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:55+00:00,2026-05-17T22:00:48.078022+00:00,500.0,130.51,0.261,end_of_data,True,True,Will the UK’s 2026 inflation be between 1.0% and 1.4%?
9100,eu_hicp_above_consensus,BUY_YES,2026-04-21T18:00:55+00:00,2026-05-17T22:00:48.078022+00:00,500.0,106.6,0.2132,end_of_data,True,True,Will the Eurozone's 2026 Annual Inflation be between 2.2% and 2.4%?
9088,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:56+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-185.04,-0.3701,end_of_data,False,True,Will the UK’s 2026 inflation be between 1.5% and 1.9%?
9579,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:56+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-251.8,-0.5036,end_of_data,False,True,Will Brazil’s Annual Inflation in 2026 be between 4.00% and 4.49%?
12373,us_gdp_above_consensus,BUY_YES,2026-04-21T18:00:56+00:00,2026-04-29T18:00:07+00:00,500.0,28168.11,56.3362,convergence,True,False,Will Brazil’s Q1 2026 GDP growth rate (YoY) be between 0.7% and 1.0%?
6043,us_gdp_above_consensus,BUY_YES,2026-04-21T18:00:57+00:00,2026-04-28T18:00:08+00:00,500.0,2024.42,4.0488,convergence,True,False,Will US GDP growth in 2026 be less than 0.5%?
9271,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:57+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-238.42,-0.4768,end_of_data,False,True,Will China's annual inflation in 2026 be less than -1.0%?
11049,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:58+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-365.35,-0.7307,end_of_data,False,True,Will Mexico’s 2026 Annual Inflation be between 3.00% and 3.49%?
9609,us_cpi_above_consensus,BUY_YES,2026-04-21T18:00:59+00:00,2026-05-04T18:00:07+00:00,500.0,779.97,1.5599,convergence,True,True,Will South African inflation be between 4.4% and 4.7% in 2026?
9590,us_gdp_above_consensus,BUY_YES,2026-04-21T18:00:59+00:00,2026-04-29T18:00:08+00:00,500.0,16415.18,32.8304,convergence,True,False,Will world GDP growth be 3.3% in 2026?
12374,us_gdp_above_consensus,BUY_YES,2026-04-21T18:00:59+00:00,2026-04-28T18:00:08+00:00,500.0,1174.28,2.3486,convergence,True,False,Will Brazil’s Q1 2026 GDP growth rate (YoY) be between 1.1% and 1.4%?
9586,us_gdp_above_consensus,BUY_YES,2026-04-22T18:00:08+00:00,2026-04-29T18:00:07+00:00,500.0,303.78,0.6076,convergence,True,False,Will world GDP growth be ≤2.9% in 2026?
11353,us_gdp_above_consensus,BUY_YES,2026-04-22T18:00:12+00:00,2026-05-03T18:00:07+00:00,500.0,646.46,1.2929,convergence,True,False,Will Japan GDP growth in Q1 2026 be between 0.9% and 1.1%?
11352,us_gdp_above_consensus,BUY_YES,2026-04-26T18:00:16+00:00,2026-04-28T18:00:04+00:00,500.0,385.61,0.7712,convergence,True,False,Will Japan GDP growth in Q1 2026 be between 0.6% and 0.8%?
9569,us_cpi_above_consensus,BUY_YES,2026-05-01T18:00:09+00:00,2026-05-17T22:00:48.078022+00:00,500.0,890.04,1.7801,end_of_data,True,True,Will Canada’s 2026 inflation be between 3.5% and 3.9%?
12376,us_gdp_above_consensus,BUY_YES,2026-05-01T18:00:09+00:00,2026-05-06T18:00:06+00:00,500.0,459.09,0.9182,convergence,True,False,Will Brazil’s Q1 2026 GDP growth rate (YoY) be between 1.9% and 2.2%?
12375,us_gdp_above_consensus,BUY_YES,2026-05-01T18:00:12+00:00,2026-05-03T18:00:08+00:00,500.0,234.35,0.4687,convergence,True,False,Will Brazil’s Q1 2026 GDP growth rate (YoY) be between 1.5% and 1.8%?
